,Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
0,United States,USA,2020,CO2 emissions (kt),EN.ATM.CO2E.KT,4320532.5
1,United States,USA,2019,CO2 emissions (kt),EN.ATM.CO2E.KT,4817710.4
2,United States,USA,2018,CO2 emissions (kt),EN.ATM.CO2E.KT,4975300.4
3,United States,USA,2017,CO2 emissions (kt),EN.ATM.CO2E.KT,4819365.1
4,United States,USA,2016,CO2 emissions (kt),EN.ATM.CO2E.KT,4894499.2
5,United States,USA,2015,CO2 emissions (kt),EN.ATM.CO2E.KT,4990703.7
6,United States,USA,2014,CO2 emissions (kt),EN.ATM.CO2E.KT,5107208.6
7,United States,USA,2013,CO2 emissions (kt),EN.ATM.CO2E.KT,5092097.2
8,United States,USA,2012,CO2 emissions (kt),EN.ATM.CO2E.KT,4956053
9,United States,USA,2011,CO2 emissions (kt),EN.ATM.CO2E.KT,5173591.2
10,United States,USA,2010,CO2 emissions (kt),EN.ATM.CO2E.KT,5392109.4
11,United States,USA,2009,CO2 emissions (kt),EN.ATM.CO2E.KT,5156424.9
12,United States,USA,2008,CO2 emissions (kt),EN.ATM.CO2E.KT,5558378.9
13,United States,USA,2007,CO2 emissions (kt),EN.ATM.CO2E.KT,5736319.3
14,United States,USA,2006,CO2 emissions (kt),EN.ATM.CO2E.KT,5653081
15,United States,USA,2005,CO2 emissions (kt),EN.ATM.CO2E.KT,5753493.2
16,United States,USA,2004,CO2 emissions (kt),EN.ATM.CO2E.KT,5738286
17,United States,USA,2003,CO2 emissions (kt),EN.ATM.CO2E.KT,5658992
18,United States,USA,2002,CO2 emissions (kt),EN.ATM.CO2E.KT,5593024.4
19,United States,USA,2001,CO2 emissions (kt),EN.ATM.CO2E.KT,5748261.8
20,United States,USA,2000,CO2 emissions (kt),EN.ATM.CO2E.KT,5775807.2
21,United States,USA,1999,CO2 emissions (kt),EN.ATM.CO2E.KT,5609017.3
22,United States,USA,1998,CO2 emissions (kt),EN.ATM.CO2E.KT,5590536.3
23,United States,USA,1997,CO2 emissions (kt),EN.ATM.CO2E.KT,5543349.4
24,United States,USA,1996,CO2 emissions (kt),EN.ATM.CO2E.KT,5273486.3
25,United States,USA,1995,CO2 emissions (kt),EN.ATM.CO2E.KT,5117036.9
26,United States,USA,1994,CO2 emissions (kt),EN.ATM.CO2E.KT,5066803
27,United States,USA,1993,CO2 emissions (kt),EN.ATM.CO2E.KT,4995209.5
28,United States,USA,1992,CO2 emissions (kt),EN.ATM.CO2E.KT,4879626.1
29,United States,USA,1991,CO2 emissions (kt),EN.ATM.CO2E.KT,4807496.5
30,United States,USA,1990,CO2 emissions (kt),EN.ATM.CO2E.KT,4844517.4
